Date,Hotel_Name,Location,Room_Type,Occupancy_Rate,Bookings,Cancellations,Average_Daily_Rate,Revenue_per_Room,Season,Day_of_Week,Customer_Segment,Booking_Channel,Promotion_Applied,Lead_Time_Days,No_Show,Food_And_Beverage_Revenue,Total_Revenue,Customer_Rating,Length_of_Stay,CheckIn_Rating,Room_Cleanliness_Rating,Spa_Used,Parking_Used,Loyalty_Member,Referral_Source,Complaints_Received,Early_CheckIn,Early_CheckIn,Late_CheckOut,Special_Requests,Customer_Tier,Event_Attendance,Room_Service_Orders,Avg_Response_Time_Min,MiniBar_Usage,InRoom_Dining,Total_Laundry_Cost,Hotel_Branch,Mobile_CheckIn_Used
1/11/2023,Ocean View,New York,Deluxe,71.8480721,182,10,137.53,98.81,Winter,Wednesday,Group,Walk-in,Yes,55,No,157.26,256.07,4.8,7,3.5,4.8,No,Yes,No,Social Media,0,No,No,No,1,Silver,Yes,5,11.8,No,No,98.71,Airport,Yes
1/12/2023,City Lodge,Miami,Suite,78.27228064,198,18,169.42,132.61,Winter,Thursday,Business,Online,No,63,No,113.31,245.92,4.7,4,1.6,4.8,No,No,No,Social Media,0,No,No,No,3,Gold,Yes,2,19.3,No,Yes,46.6,Beachside,Yes
1/13/2023,Mountain Stay,Seattle,Suite,70.6540367,56,20,184.17,130.12,Winter,Friday,Group,Online,Yes,7,No,191.46,321.58,1.2,7,4.3,4.4,Yes,Yes,Yes,OTA,1,No,No,No,3,Gold,No,3,17.7,No,Yes,35.35,Suburban,No
1/14/2023,Sunset Resort,New York,Standard,95.42576561,138,4,153.3,146.29,Winter,Saturday,Business,Online,Yes,80,No,63.63,209.92,2.4,5,2,4.4,Yes,Yes,No,Google,1,No,No,Yes,4,Platinum,Yes,1,20.3,Yes,No,65.52,Suburban,Yes
1/15/2023,Ocean View,Miami,Deluxe,60.66025957,76,13,159.34,96.66,Winter,Sunday,Leisure,Online,Yes,36,Yes,43.92,140.58,4.3,6,2.4,1.8,No,No,No,Email,1,No,No,Yes,3,Silver,Yes,1,21.7,No,No,65.86,Downtown,No
1/16/2023,Sunset Resort,New York,Suite,72.91911183,27,20,146.42,106.77,Winter,Monday,Leisure,Agent,Yes,26,No,135.49,242.26,3.4,7,3.7,4.3,No,No,No,Email,1,No,No,No,2,Gold,No,3,13.8,No,No,55.52,Beachside,No
1/17/2023,Ocean View,Seattle,Deluxe,58.86294121,114,23,153.47,90.34,Winter,Tuesday,Business,Online,Yes,44,No,151.68,242.02,4.1,7,4.9,4.8,No,No,Yes,Friend,0,Yes,Yes,Yes,0,Bronze,Yes,4,20.9,Yes,No,25.57,Beachside,Yes
1/18/2023,Mountain Stay,Seattle,Deluxe,50.19966233,136,15,116.51,58.49,Winter,Wednesday,Corporate,Agent,Yes,3,No,44.98,103.47,3.9,7,1.6,3.1,Yes,Yes,Yes,OTA,0,Yes,Yes,No,4,Silver,No,2,19.3,No,Yes,97.81,Suburban,Yes
1/19/2023,Grand Inn,Los Angeles,Standard,60.82346364,129,24,141.19,85.88,Winter,Thursday,Leisure,Walk-in,Yes,85,No,15.32,101.2,3,7,1.4,1.2,Yes,Yes,No,OTA,0,No,No,No,2,Platinum,No,2,23.6,No,Yes,69.97,Beachside,Yes
1/20/2023,Ocean View,Chicago,Suite,69.44444804,39,12,111.35,77.33,Winter,Friday,Group,Phone,No,89,No,162.1,239.43,1.2,7,2.5,1.1,No,Yes,No,Social Media,0,Yes,Yes,Yes,2,Platinum,Yes,3,23.9,No,No,35.92,Airport,No
1/21/2023,Sunset Resort,New York,Standard,63.56046663,143,24,123.04,78.2,Winter,Saturday,Business,Online,No,87,No,195.3,273.5,3.3,3,4.2,2.6,No,Yes,Yes,Email,1,No,No,No,0,Gold,No,5,7.3,No,Yes,87.1,Beachside,No
1/22/2023,Mountain Stay,New York,Standard,59.6136853,72,28,89.91,53.6,Winter,Sunday,Group,Phone,No,36,Yes,128.93,182.53,1.2,3,1.5,1.7,Yes,No,Yes,OTA,0,No,No,Yes,0,Silver,No,4,14.5,No,Yes,31.76,Downtown,Yes
1/23/2023,Ocean View,Miami,Suite,48.90523804,138,21,157.92,77.23,Winter,Monday,Corporate,Walk-in,No,70,No,55.57,132.8,3.4,7,3.3,1.8,Yes,Yes,No,Google,0,No,No,No,0,Platinum,Yes,4,10.6,Yes,No,78.08,Beachside,Yes
1/24/2023,Grand Inn,Seattle,Suite,68.75341641,31,21,200.75,138.02,Winter,Tuesday,Business,Walk-in,Yes,32,No,199.33,337.35,4.2,2,3.7,1.3,No,Yes,No,Social Media,1,No,No,Yes,0,Silver,No,4,15.4,No,No,81.99,Airport,Yes
1/25/2023,Grand Inn,New York,Deluxe,47.42919439,196,24,136.32,64.66,Winter,Wednesday,Leisure,Online,No,30,No,178.65,243.31,3.3,2,3.9,4.5,No,Yes,No,Friend,0,No,No,No,0,Silver,No,2,15.4,No,Yes,27.32,Beachside,No
1/26/2023,City Lodge,Seattle,Suite,81.40083946,36,19,178.95,145.67,Winter,Thursday,Group,Walk-in,No,54,No,102.68,248.35,5,3,2.5,1.9,No,Yes,No,Friend,0,Yes,Yes,No,1,Silver,No,0,7.4,No,No,52.75,Suburban,No
1/27/2023,City Lodge,New York,Deluxe,71.23659629,83,21,183.77,130.91,Winter,Friday,Leisure,Phone,No,11,Yes,165.06,295.97,2.8,4,3.3,3.1,No,Yes,Yes,Friend,1,Yes,Yes,No,1,Gold,Yes,4,26.6,Yes,Yes,29.05,Airport,No
1/28/2023,Sunset Resort,Los Angeles,Deluxe,48.13672751,61,3,114.03,54.89,Winter,Saturday,Leisure,Online,Yes,10,No,163.16,218.05,4,6,3.2,4.8,Yes,No,No,Social Media,1,No,No,No,2,Gold,Yes,0,5.6,No,Yes,37.34,Airport,Yes
1/29/2023,Ocean View,Chicago,Deluxe,65.36186384,113,10,120.49,78.75,Winter,Sunday,Business,Agent,No,87,No,186.96,265.71,3.7,8,4.2,1.9,No,No,Yes,Google,0,Yes,Yes,Yes,3,Bronze,No,2,25.6,Yes,No,80.18,Suburban,No
1/30/2023,Ocean View,New York,Suite,58.71765392,176,16,179.72,105.53,Winter,Monday,Group,Online,No,71,No,168.18,273.71,5,7,2,4.5,Yes,No,No,OTA,0,No,No,No,2,Bronze,Yes,5,28.7,No,No,19.65,Downtown,Yes
1/31/2023,City Lodge,Seattle,Standard,74.78761766,166,6,147.23,110.11,Winter,Tuesday,Corporate,Phone,Yes,31,No,128.74,238.85,3.9,4,5,1.1,No,Yes,Yes,OTA,0,Yes,Yes,No,1,Silver,Yes,5,22.3,No,No,76.9,Suburban,No
2/1/2023,Ocean View,Los Angeles,Deluxe,90.10675669,30,13,111.28,100.27,Winter,Wednesday,Leisure,Online,No,56,No,121.86,222.13,1.7,2,2.7,2.6,No,Yes,No,Email,0,No,No,No,4,Bronze,Yes,2,28.2,No,No,30.83,Beachside,Yes
2/2/2023,Ocean View,New York,Standard,41.87241296,117,25,130.89,54.81,Winter,Thursday,Business,Online,Yes,37,No,93.47,148.28,4.8,2,3.7,1.9,Yes,Yes,No,Social Media,1,No,No,Yes,4,Gold,No,3,18.6,No,Yes,39.73,Airport,Yes
2/3/2023,Grand Inn,Miami,Standard,71.72539119,197,10,162.59,116.62,Winter,Friday,Business,Phone,No,59,No,125.3,241.92,3.7,4,4.5,4.5,No,Yes,No,OTA,0,Yes,Yes,No,4,Platinum,No,2,13.5,Yes,No,12.24,Airport,Yes
2/4/2023,City Lodge,Chicago,Suite,67.59800807,90,27,126.18,85.3,Winter,Saturday,Corporate,Online,Yes,85,No,159.04,244.34,1.2,6,4.8,1.4,No,No,No,Social Media,0,No,No,No,0,Silver,Yes,5,24.9,Yes,Yes,0.3,Airport,No
2/5/2023,Mountain Stay,New York,Standard,80.07010115,127,21,66.76,53.45,Winter,Sunday,Business,Online,No,18,No,193.81,247.26,3.6,3,1.2,1.6,No,Yes,No,Google,0,Yes,Yes,No,2,Bronze,Yes,5,12.4,Yes,No,63.75,Airport,No
2/6/2023,City Lodge,Los Angeles,Standard,73.19794942,77,8,140.34,102.73,Winter,Monday,Leisure,Phone,No,83,No,93.46,196.19,4.5,6,3.4,3.9,Yes,No,Yes,Friend,1,No,No,No,1,Silver,No,5,24.9,Yes,Yes,94.39,Beachside,Yes
2/7/2023,Mountain Stay,Miami,Suite,58.72046002,53,22,142.77,83.84,Winter,Tuesday,Business,Walk-in,No,55,Yes,114.73,198.57,3.3,5,3.2,2.6,Yes,No,Yes,Social Media,0,Yes,Yes,No,0,Platinum,No,5,20.3,No,Yes,69.33,Airport,No
2/8/2023,Grand Inn,Los Angeles,Deluxe,65.21419097,39,12,150.28,98,Winter,Wednesday,Group,Phone,Yes,13,No,88.96,186.96,2.4,5,2,3.4,Yes,No,Yes,OTA,1,Yes,Yes,Yes,0,Platinum,Yes,1,5.4,No,No,58.16,Beachside,No
2/9/2023,Sunset Resort,Los Angeles,Standard,58.05961215,69,22,187.77,109.02,Winter,Thursday,Group,Online,No,32,No,133.7,242.72,4.3,2,4.6,2,No,Yes,Yes,Social Media,1,No,No,Yes,2,Bronze,No,4,11.4,No,No,22.84,Beachside,No
2/10/2023,Ocean View,Miami,Suite,86.14010708,121,17,151.61,130.6,Winter,Friday,Leisure,Agent,Yes,9,No,125.98,256.58,4.1,8,3.2,2.6,Yes,No,Yes,OTA,0,No,No,No,0,Gold,No,5,27.6,No,No,93.35,Downtown,No
2/11/2023,Grand Inn,Los Angeles,Standard,70.31967473,157,27,157.29,110.61,Winter,Saturday,Group,Agent,Yes,79,No,3.57,114.18,3.2,5,2.4,3.4,Yes,No,No,Email,0,No,No,Yes,4,Silver,No,4,29.2,Yes,Yes,75.37,Suburban,Yes
2/12/2023,Ocean View,Miami,Standard,98.51786029,179,10,181.67,178.98,Winter,Sunday,Corporate,Phone,Yes,63,No,108.23,287.21,1.6,2,2.5,2.6,No,Yes,Yes,Social Media,0,Yes,Yes,No,1,Silver,Yes,5,19.2,No,Yes,87.95,Beachside,No
2/13/2023,Sunset Resort,New York,Deluxe,69.09008779,71,14,150.31,103.85,Winter,Monday,Business,Agent,Yes,63,No,17.7,121.55,2,7,2.9,1.8,No,Yes,Yes,Friend,0,No,No,No,0,Bronze,Yes,4,11,No,Yes,35.44,Suburban,Yes
2/14/2023,Sunset Resort,Miami,Standard,59.3738985,34,24,214.1,127.12,Winter,Tuesday,Leisure,Online,No,61,Yes,5.28,132.4,4,9,4.5,4.2,Yes,No,No,OTA,0,No,No,No,1,Gold,Yes,4,12.3,No,Yes,55.21,Downtown,No
2/15/2023,Grand Inn,Miami,Suite,47.29428411,103,25,112.09,53.01,Winter,Wednesday,Corporate,Online,No,67,No,158.24,211.25,4.2,9,2.4,3.1,No,Yes,No,Email,0,Yes,Yes,Yes,2,Bronze,Yes,4,6.9,No,Yes,10.36,Beachside,Yes
2/16/2023,Sunset Resort,Chicago,Standard,42.95290486,150,24,121.98,52.39,Winter,Thursday,Business,Phone,No,42,No,51.73,104.12,2.1,1,4.4,4.8,No,Yes,No,Email,0,Yes,Yes,Yes,2,Silver,Yes,5,17.3,Yes,Yes,67.17,Suburban,No
2/17/2023,Mountain Stay,Miami,Deluxe,46.23796085,56,21,168.42,77.87,Winter,Friday,Corporate,Online,Yes,79,No,68.13,146,2.5,7,4.3,1.2,Yes,Yes,No,OTA,2,No,No,No,2,Bronze,No,3,16.5,No,No,40.86,Downtown,No
2/18/2023,Sunset Resort,Miami,Deluxe,74.00689977,145,28,187.63,138.86,Winter,Saturday,Leisure,Walk-in,No,58,No,12.82,151.68,1.3,9,2.8,1,No,No,No,Email,0,Yes,Yes,No,1,Silver,No,2,17.9,No,No,71.73,Suburban,Yes
2/19/2023,Ocean View,New York,Suite,77.63087535,59,18,143.98,111.77,Winter,Sunday,Leisure,Online,Yes,51,No,35.9,147.67,3.9,6,4.7,2,No,No,Yes,Email,0,No,No,No,1,Gold,No,3,19,No,Yes,37.04,Downtown,No
2/20/2023,Ocean View,Chicago,Deluxe,46.28213947,91,0,119.68,55.39,Winter,Monday,Corporate,Phone,Yes,18,No,153.12,208.51,1,1,4.2,3.1,Yes,No,Yes,OTA,1,Yes,Yes,Yes,1,Bronze,No,4,27.7,No,No,87.3,Downtown,Yes
2/21/2023,Ocean View,Seattle,Standard,83.42557471,59,3,202.83,169.21,Winter,Tuesday,Business,Walk-in,Yes,20,No,98.71,267.92,1.2,2,2.1,4.1,No,Yes,Yes,Email,0,No,No,No,4,Bronze,No,0,28.4,Yes,Yes,23.12,Suburban,No
2/22/2023,Ocean View,New York,Deluxe,62.75408422,75,13,126.23,79.21,Winter,Wednesday,Group,Walk-in,No,21,No,176.13,255.34,1,4,1.2,1.5,No,Yes,Yes,Google,0,No,No,No,0,Silver,No,3,17.8,No,No,38.17,Airport,Yes
2/23/2023,Mountain Stay,New York,Suite,72.20189518,170,13,160.17,115.65,Winter,Thursday,Group,Agent,No,8,No,79.45,195.1,3.6,4,1.9,2,No,Yes,Yes,Google,1,Yes,Yes,No,1,Bronze,Yes,5,26.7,Yes,No,59.18,Suburban,Yes
2/24/2023,City Lodge,Seattle,Deluxe,94.18330942,123,2,189.42,178.4,Winter,Friday,Corporate,Online,Yes,8,No,53.74,232.14,2.7,2,3.2,2.5,No,Yes,No,OTA,0,No,No,No,1,Gold,No,5,5.5,No,No,10.76,Airport,Yes
2/25/2023,Grand Inn,Miami,Deluxe,83.45258974,158,29,136.75,114.12,Winter,Saturday,Leisure,Phone,No,72,No,69.52,183.64,2.2,8,1.4,4.4,Yes,Yes,No,Google,0,No,No,Yes,2,Bronze,Yes,0,16.4,Yes,No,45.75,Suburban,No
2/26/2023,Ocean View,Los Angeles,Deluxe,65.97204028,129,27,131.34,86.65,Winter,Sunday,Business,Agent,No,26,No,142.55,229.2,4.7,2,3.8,1.2,Yes,Yes,No,OTA,2,No,No,No,1,Silver,Yes,4,14.4,Yes,No,86.4,Airport,No
2/27/2023,Sunset Resort,Chicago,Suite,56.63211662,155,16,133.39,75.54,Winter,Monday,Business,Agent,Yes,16,No,111,186.54,1.8,3,1,2.4,Yes,Yes,No,Google,0,Yes,Yes,No,3,Platinum,Yes,0,19.4,No,No,63.1,Downtown,Yes
2/28/2023,Ocean View,Los Angeles,Deluxe,37.72276898,112,2,177.05,66.79,Winter,Tuesday,Leisure,Online,Yes,43,No,180.84,247.63,2.6,4,4.1,1.5,Yes,No,Yes,OTA,0,No,No,No,4,Bronze,No,2,12.2,Yes,No,59.68,Airport,Yes
3/1/2023,Sunset Resort,Seattle,Deluxe,59.21270021,113,15,181.8,107.65,Spring,Wednesday,Group,Online,No,44,No,120.43,228.08,4.8,9,3.8,5,Yes,No,Yes,Email,1,Yes,Yes,Yes,0,Silver,No,3,16.3,No,No,31.26,Beachside,No
3/2/2023,Sunset Resort,New York,Standard,66.83304642,75,13,151.01,100.92,Spring,Thursday,Business,Phone,Yes,7,No,98.6,199.52,2.7,1,1.5,1.7,No,Yes,Yes,Social Media,0,No,No,No,4,Platinum,Yes,1,18.5,No,Yes,8.17,Airport,Yes
3/3/2023,Ocean View,New York,Suite,55.19230709,79,29,206.49,113.97,Spring,Friday,Corporate,Agent,Yes,79,Yes,157.15,271.12,3.2,8,1,3.5,Yes,Yes,No,Social Media,0,Yes,Yes,No,3,Bronze,Yes,2,18,Yes,Yes,47.24,Suburban,Yes
3/4/2023,Mountain Stay,Chicago,Deluxe,68.03114549,157,19,150.96,102.7,Spring,Saturday,Group,Phone,No,17,No,189.51,292.21,1.3,5,3.5,1.4,Yes,Yes,Yes,OTA,2,Yes,Yes,Yes,4,Platinum,No,5,20.9,No,Yes,12.67,Suburban,No
3/5/2023,Sunset Resort,New York,Suite,71.15277824,58,28,188.77,134.32,Spring,Sunday,Corporate,Agent,No,32,Yes,71.17,205.49,4.2,7,1.1,4.5,Yes,No,No,Friend,1,No,No,No,2,Silver,Yes,2,8.2,No,No,86.34,Downtown,Yes
3/6/2023,Sunset Resort,New York,Deluxe,66.62716027,47,12,137.04,91.31,Spring,Monday,Group,Agent,Yes,0,No,49.98,141.29,2.7,8,4.8,3.4,No,No,Yes,OTA,0,No,No,No,4,Silver,No,0,8.9,Yes,Yes,54.03,Downtown,Yes
3/7/2023,Ocean View,Chicago,Deluxe,60.24996129,68,14,220.01,132.56,Spring,Tuesday,Leisure,Agent,No,75,No,123.24,255.8,4.2,5,2.1,1.6,No,Yes,No,Friend,0,No,No,No,4,Platinum,Yes,2,21.8,No,No,47.01,Airport,No
3/8/2023,Sunset Resort,Chicago,Deluxe,72.52982008,183,13,197.1,142.96,Spring,Wednesday,Corporate,Online,Yes,5,No,99.77,242.73,2,8,4.9,1.7,No,Yes,Yes,Email,0,No,No,Yes,2,Platinum,No,0,27.9,No,Yes,65.1,Downtown,No
3/9/2023,Sunset Resort,Seattle,Standard,76.62910974,144,23,146.16,112,Spring,Thursday,Corporate,Agent,Yes,40,No,197.84,309.84,2.7,8,5,3.2,No,No,No,OTA,1,Yes,Yes,No,4,Gold,No,1,8.3,No,No,56.51,Suburban,Yes
3/10/2023,Ocean View,New York,Standard,53.64401384,32,24,193.04,103.55,Spring,Friday,Leisure,Agent,No,54,No,92.47,196.02,4.1,9,2.3,4.6,No,Yes,Yes,Friend,0,No,No,Yes,3,Bronze,Yes,5,6.7,No,Yes,72.46,Suburban,Yes
3/11/2023,Ocean View,New York,Standard,91.1639857,55,18,191.52,174.6,Spring,Saturday,Corporate,Agent,Yes,4,No,14.87,189.47,4.9,2,3.9,2.6,No,Yes,No,Social Media,0,Yes,Yes,No,0,Bronze,No,3,22.1,Yes,Yes,15.82,Downtown,Yes
3/12/2023,Grand Inn,Seattle,Suite,68.52117802,120,5,196.59,134.71,Spring,Sunday,Group,Walk-in,Yes,58,No,195.47,330.18,1.2,3,4.4,4.3,Yes,No,No,OTA,0,No,No,No,2,Platinum,No,3,9.7,No,No,8.47,Downtown,Yes
3/13/2023,Mountain Stay,Miami,Suite,70.28274434,45,9,75.54,53.09,Spring,Monday,Business,Online,Yes,79,No,168.72,221.81,4.2,1,3.1,4.1,Yes,Yes,No,Email,1,No,No,No,0,Gold,No,0,10.5,No,No,14.68,Airport,Yes
3/14/2023,Mountain Stay,Miami,Standard,80.62321635,105,26,171.58,138.33,Spring,Tuesday,Business,Walk-in,No,17,No,35.65,173.98,2.2,4,1.6,3.9,No,No,Yes,Friend,2,No,No,Yes,0,Bronze,Yes,4,26.7,No,Yes,17.9,Beachside,Yes
3/15/2023,Sunset Resort,Miami,Suite,73.49824197,23,14,166.27,122.21,Spring,Wednesday,Leisure,Online,No,48,No,180.92,303.13,3.2,5,3.6,1.1,Yes,Yes,Yes,Google,0,No,No,Yes,2,Gold,No,5,19.3,No,No,32.69,Beachside,Yes
3/16/2023,Mountain Stay,Seattle,Deluxe,84.29704951,101,20,164.13,138.36,Spring,Thursday,Group,Phone,No,81,No,68.13,206.49,2.2,1,2.6,2,Yes,No,Yes,Email,0,No,No,Yes,4,Bronze,No,0,25.9,No,No,78.94,Airport,Yes
3/17/2023,Sunset Resort,New York,Deluxe,74.30686248,185,21,156.55,116.33,Spring,Friday,Corporate,Walk-in,Yes,64,No,75.42,191.75,3.5,8,4.3,4.1,Yes,Yes,Yes,Friend,1,No,No,No,0,Silver,No,2,19,No,No,0.08,Airport,No
3/18/2023,Grand Inn,Seattle,Deluxe,60.81343938,146,19,157.43,95.74,Spring,Saturday,Corporate,Phone,Yes,82,No,181.28,277.02,2.4,2,1.1,3.7,No,Yes,Yes,Google,0,Yes,Yes,No,1,Gold,Yes,1,11.9,No,No,30.21,Beachside,No
3/19/2023,Ocean View,Seattle,Standard,75.42255288,107,25,188.49,142.16,Spring,Sunday,Business,Agent,No,53,No,106.02,248.18,2.3,1,2.7,1.7,Yes,No,Yes,Email,2,No,No,Yes,4,Silver,Yes,1,19.2,No,Yes,57.36,Suburban,Yes
3/20/2023,Ocean View,Miami,Suite,52.84410689,146,5,166.18,87.82,Spring,Monday,Corporate,Phone,No,60,No,27.55,115.37,1.2,2,4.4,2.5,No,No,Yes,Google,1,No,No,No,2,Platinum,No,1,10.6,No,No,50.75,Downtown,No
3/21/2023,Ocean View,Los Angeles,Standard,71.62839559,139,22,156.51,112.11,Spring,Tuesday,Business,Phone,No,7,No,73.81,185.92,1.6,5,4.6,3.9,Yes,Yes,Yes,Friend,0,Yes,Yes,No,0,Silver,Yes,3,21.3,No,No,97.02,Beachside,No
3/22/2023,Mountain Stay,New York,Suite,69.50155014,41,24,184.18,128.01,Spring,Wednesday,Leisure,Phone,Yes,2,No,144.42,272.43,4.7,9,4.1,4.2,Yes,Yes,Yes,OTA,0,No,No,No,1,Silver,No,2,25.6,No,No,67,Suburban,No
3/23/2023,Grand Inn,Miami,Deluxe,66.87824714,149,9,162.54,108.7,Spring,Thursday,Corporate,Phone,No,24,No,34.84,143.54,5,9,1.6,2.8,No,Yes,Yes,Social Media,0,Yes,Yes,No,1,Platinum,No,0,20.4,No,Yes,29.42,Airport,No
3/24/2023,Mountain Stay,Los Angeles,Standard,68.07193733,50,6,165.41,112.6,Spring,Friday,Group,Online,Yes,68,No,118.05,230.65,4.1,2,3.3,1.2,No,No,No,Email,1,Yes,Yes,Yes,3,Gold,No,0,26.5,Yes,No,70.87,Beachside,No
3/25/2023,Mountain Stay,Los Angeles,Suite,41.77226432,138,21,206.01,86.06,Spring,Saturday,Corporate,Walk-in,No,54,No,139.05,225.11,2.1,2,3,1.2,Yes,Yes,Yes,Email,1,Yes,Yes,Yes,1,Platinum,No,1,22.2,Yes,Yes,77.59,Suburban,Yes
3/26/2023,Grand Inn,Chicago,Suite,61.76912638,30,16,136.97,84.61,Spring,Sunday,Business,Online,Yes,39,No,68.77,153.38,2.6,3,3.2,2.6,No,Yes,Yes,Email,0,No,No,No,2,Bronze,Yes,3,11.7,No,No,82.17,Beachside,No
3/27/2023,Grand Inn,New York,Deluxe,71.39267352,65,17,104.53,74.63,Spring,Monday,Leisure,Online,Yes,82,No,138.78,213.41,4,7,2.9,1.3,Yes,No,No,Friend,2,Yes,Yes,Yes,2,Bronze,Yes,3,26.1,Yes,Yes,74.15,Suburban,No
3/28/2023,Grand Inn,Los Angeles,Standard,72.39784588,115,16,152.17,110.17,Spring,Tuesday,Business,Online,No,81,No,176.84,287.01,4.9,3,2.9,2.5,Yes,Yes,Yes,Friend,0,Yes,Yes,No,3,Bronze,No,5,12.2,No,Yes,71.88,Beachside,No
3/29/2023,Grand Inn,Miami,Standard,54.58487289,29,8,156.44,85.39,Spring,Wednesday,Corporate,Phone,Yes,49,Yes,94.42,179.81,2.8,1,2.6,2.5,No,Yes,Yes,Email,0,Yes,Yes,No,2,Silver,Yes,3,18.7,No,No,63.08,Beachside,Yes
3/30/2023,Ocean View,Chicago,Standard,88.98561761,187,9,171.65,152.74,Spring,Thursday,Business,Online,No,32,Yes,76.58,229.32,4.3,6,2.1,4.9,Yes,Yes,Yes,OTA,2,No,No,No,2,Gold,Yes,2,16.2,No,No,87.8,Suburban,No
3/31/2023,City Lodge,New York,Deluxe,57.00737728,147,9,153.22,87.35,Spring,Friday,Business,Walk-in,Yes,17,No,50.23,137.58,4.9,3,2.1,2.8,Yes,Yes,Yes,Friend,0,No,No,No,2,Bronze,No,2,29.2,No,No,92.47,Suburban,Yes
4/1/2023,City Lodge,Seattle,Standard,84.54185801,171,24,172.65,145.96,Spring,Saturday,Leisure,Online,Yes,56,Yes,120.84,266.8,4.5,1,4.5,1.6,No,Yes,No,OTA,0,Yes,Yes,No,2,Gold,Yes,0,27.6,No,No,44.64,Suburban,Yes
4/2/2023,Grand Inn,Miami,Deluxe,76.40791543,118,6,225.14,172.02,Spring,Sunday,Group,Agent,No,15,No,175.97,347.99,1.9,4,1.3,2.4,Yes,No,Yes,Email,1,No,No,No,4,Gold,No,2,15.6,No,No,27.97,Airport,No
4/3/2023,City Lodge,Los Angeles,Deluxe,60.30659035,191,15,174.05,104.96,Spring,Monday,Corporate,Phone,Yes,79,No,64.93,169.89,1,1,1.8,2,No,No,No,Email,0,No,No,No,2,Gold,Yes,2,20.9,Yes,Yes,25.96,Airport,Yes
